depth,step_size,truncation,reward
0,0.703791,23,14.210000
6,0.278014,29,172.080000
1,0.596516,10,16.350000
5,0.523320,11,81.810000
2,0.397377,27,130.960000
7,0.534318,6,179.290000
3,0.900965,9,86.540000
5,0.314841,1,46.730000
2,0.688531,13,13.040000
7,0.335756,18,117.960000
3,0.261983,6,176.100000
6,0.153444,10,161.100000
4,0.064877,13,119.440000
5,0.101394,20,167.760000
5,0.207083,29,163.590000
7,0.060398,30,172.580000
4,0.134037,8,150.590000
3,0.707983,9,58.930000
2,0.733823,13,117.840000
5,0.468416,14,81.090000
6,0.296570,6,150.970000
7,0.755963,14,45.770000
1,0.579044,18,66.730000
5,0.707823,15,168.960000
2,0.102090,1,30.730000
6,0.739082,3,127.630000
0,0.742227,17,12.400000
4,0.610358,6,65.800000
1,0.175276,9,168.080000
2,0.210724,2,62.080000
3,0.846832,12,72.200000
4,0.894717,2,44.140000
4,0.284370,23,117.040000
6,0.191273,27,165.960000
4,0.324434,15,154.170000
0,0.741740,25,12.470000
2,0.634155,25,29.100000
7,0.870288,15,148.010000
0,0.728763,18,12.280000
3,0.188972,16,161.850000
0,0.246092,24,19.910000
7,0.451750,7,120.390000
3,0.932999,11,37.670000
3,0.232890,8,156.720000
6,0.458670,25,74.200000
7,0.022565,20,50.140000
0,0.146431,18,21.640000
1,0.891742,25,10.530000
5,0.636267,24,96.730000
6,0.967244,30,105.670000
7,0.910932,20,138.130000
6,0.644147,4,129.800000
0,0.456064,4,18.210000
2,0.868576,27,38.580000
2,0.679161,12,27.460000
0,0.923774,23,10.040000
0,0.218364,30,18.750000
0,0.842798,22,10.740000
5,0.308699,23,130.570000
7,0.532035,25,107.840000
6,0.139622,28,191.010000
2,0.524663,5,25.760000
3,0.900049,28,86.190000
7,0.378774,21,119.520000
3,0.964733,29,79.100000
2,0.821979,24,36.690000
4,0.341683,27,175.160000
2,0.455297,23,184.910000
6,0.051823,28,172.440000
3,0.653503,11,148.450000
6,0.771223,17,15.710000
3,0.481568,24,89.460000
5,0.370279,10,136.710000
1,0.203605,24,173.740000
6,0.350439,24,114.160000
2,0.203463,4,133.250000
7,0.493297,19,45.140000
3,0.197130,1,36.700000
3,0.349252,27,68.840000
6,0.924613,3,31.350000
6,0.556194,20,120.020000
0,0.074438,20,22.790000
3,0.463648,10,158.330000
7,0.061184,17,139.070000
4,0.058165,12,99.700000
5,0.488322,24,121.910000
7,0.310315,16,170.750000
1,0.931804,24,9.970000
5,0.123689,19,185.570000
3,0.329378,27,173.020000
7,0.176341,15,159.610000
4,0.866855,26,115.480000
0,0.115897,4,23.690000
2,0.020819,14,40.670000
6,0.953039,4,106.350000
5,0.175331,11,175.190000
4,0.596052,6,50.450000
4,0.061629,16,150.260000
7,0.747008,19,25.560000
5,0.898439,13,80.180000
2,0.780107,19,12.810000
6,0.623064,14,155.970000
3,0.890024,1,67.940000
7,0.461167,14,167.830000
5,0.954433,26,91.270000
4,0.718924,3,20.130000
1,0.435766,10,87.520000
